Symbol,Date,Open,High,Low,Close,Adj Close,Volume
META,9/22/22,141.550003,144.5800018,140.8699951,142.8200073,142.8200073,34418500
META,9/23/22,141.419998,142.6199951,138.8899994,140.4100037,140.4100037,31710700
META,9/26/22,140.119995,142.2400055,136.1900024,136.3699951,136.3699951,30497000
META,9/27/22,137.919998,139.4199982,134.1199951,134.3999939,134.3999939,30826500
META,9/28/22,134.619995,142.0299988,134.2700043,141.6100006,141.6100006,32658500
META,9/29/22,139.360001,139.8399963,135.1999969,136.4100037,136.4100037,38985400
META,9/30/22,136.050003,140.9900055,135.5,135.6799927,135.6799927,33166400
META,10/3/22,137.139999,139.6199951,136.1000061,138.6100006,138.6100006,27723100
META,10/4/22,140.490005,142.3899994,139.3399963,140.2799988,140.2799988,34670700
META,10/5/22,138.240005,140.2100067,134.7799988,138.9799957,138.9799957,27979300
META,10/6/22,137.720001,141.4499969,136.6000061,139.0700073,139.0700073,36231100
META,10/7/22,136.759995,138.2899933,132.4400024,133.4499969,133.4499969,33214800
META,10/10/22,133.550003,136.1100006,131.8699951,133.7899933,133.7899933,24024000
META,10/11/22,131.619995,132.6600037,126.9899979,128.5399933,128.5399933,38481400
META,10/12/22,128.320007,129.6699982,126.25,127.5,127.5,34605200
META,10/13/22,123.529999,131.1399994,122.5299988,130.2899933,130.2899933,34325700
META,10/14/22,131,131.7899933,126.5199966,126.7600021,126.7600021,23559400
META,10/17/22,130.300003,134.7899933,130.1799927,134.0399933,134.0399933,29612200
META,10/18/22,137.089996,137.8399963,131.3999939,132.8000031,132.8000031,25445000
META,10/19/22,132.889999,137,132.2200012,133.2299957,133.2299957,30691000
META,10/20/22,132.929993,136.7700043,131.3099976,131.5299988,131.5299988,26356300
META,10/21/22,126.309998,130.1199951,125.4400024,130.0099945,130.0099945,46348600
META,10/24/22,127.25,133.4799957,124.5699997,129.7200012,129.7200012,63563400
META,10/25/22,130.880005,138.3500061,130.5899963,137.5099945,137.5099945,38433200
META,10/26/22,131.679993,135.5500031,128.5299988,129.8200073,129.8200073,82791500
META,10/27/22,97.9800034,102.5,96.37999725,97.94000244,97.94000244,232316600
META,10/28/22,99.5800018,100.8499985,97.51000214,99.19999695,99.19999695,95928300
META,10/31/22,98.2200012,99.31999969,92.59999847,93.16000366,93.16000366,121361400
META,11/1/22,94.3300018,97.48999786,93.55000305,95.19999695,95.19999695,110189600
META,11/2/22,94.2099991,95.19999695,90.48000336,90.54000092,90.54000092,71821100
META,11/3/22,90.0800018,90.45999908,88.41000366,88.91000366,88.91000366,60664000
META,11/4/22,90.3499985,91.38999939,88.08999634,90.79000092,90.79000092,55638100
META,11/7/22,94.7799988,96.87999725,93.09999847,96.72000122,96.72000122,81987300
META,11/8/22,95.9199982,97.80000305,94.79000092,96.47000122,96.47000122,52088300
META,11/9/22,101.720001,104.9000015,100.7399979,101.4700012,101.4700012,107677300
META,11/10/22,107.120003,112.75,104.6100006,111.8700027,111.8700027,80671000
META,11/11/22,109.230003,114.9000015,108.8099976,113.0199966,113.0199966,59961700
META,11/14/22,110.989998,116.2699966,110.8000031,114.2200012,114.2200012,53395000
META,11/15/22,116.07,118.7399979,114.4100037,117.0800018,117.0800018,50670500
META,11/16/22,114.5,116.0800018,112.6600037,113.2300034,113.2300034,33287800
META,11/17/22,110.410004,112.3300018,109.8000031,111.4499969,111.4499969,35093800
META,11/18/22,113.800003,114.3199997,110.6200027,112.0500031,112.0500031,33357700
META,11/21/22,111.519997,112.3700027,109.1900024,109.8600006,109.8600006,24351100
META,11/22/22,109.860001,111.6200027,108.3199997,111.4400024,111.4400024,29029000
META,11/23/22,111.720001,112.6699982,110.7300034,112.2399979,112.2399979,21343100
META,11/25/22,111.300003,112.7300034,111.0199966,111.4100037,111.4100037,12007600
META,11/28/22,110.779999,112.0400009,108.3799973,108.7799988,108.7799988,23309400
META,11/29/22,109.540001,110.9400024,108.5400009,109.4599991,109.4599991,23899200
META,11/30/22,109.510002,118.1600037,109.3799973,118.0999985,118.0999985,43348600
META,12/1/22,119.199997,121.1999969,118.4000015,120.4400024,120.4400024,36551400
META,12/2/22,117.830002,124.0400009,117.6100006,123.4899979,123.4899979,39950500
META,12/5/22,121.75,124.6699982,121.3499985,122.4300003,122.4300003,35474900
META,12/6/22,119.910004,120.5500031,113.7399979,114.1200027,114.1200027,43689200
META,12/7/22,113.760002,115.8799973,112.8799973,113.9300003,113.9300003,29461100
META,12/8/22,116.389999,117.3399963,114.5899963,115.3300018,115.3300018,30619400
